Production (X),Harvest Area (Y)
1329536,323589
1299699,329041
1382905,339253
1419128,348223
1368074,337561
1404580,365892
1478712,359817
1486909,336765
1547499,295212
1314165,315131
1246614,367636
1350748,370966
1411650,337893
1552078,320789
1556858,360717
1402287,329109
1533369,359375
1788738,352281
1772962,380686
1582393,387803
2331046,419183
1820062,376137
1956940,461060
2180754,293067
2478922,294483
1751996.94,329515.78
1714437.6,310012.46
1861567.1,317869.41
2918152,754569
3079960,792534
3134533,795183
3136760,790051
3212208,797545
3321049,823749
3451430,838626
3514253,847610
3291515,801948
3153305,765161
3403075,825188
3418782,826091
3447394,822073
3007636,705023
3265834,750232
3340794,748540
3527899,768407
3582302,754674
3607403,757547
3715514,765099
3727249,742968
3631039,717318
4044829,781769
4387035.9,423029
4669777.5,415675
2108284.72,408176.45
2078901.59,413141.24
2076280.01,388591.22
1806424,394412
1747543,382740
1829192,400627
1971180,430343
1787719,395728
1807622,412810
1897678,432254
1759059,396919
1668955,376710
1875834,424253
1823739,411860
1875188,422582
1907390,426950
1889489,417846
1938120,423655
1965634,421902
2105790,439542
2211248,460497
2279602,461709
2368390,476422
2430384,487820
2519020,503198
2550609,507545
2487929,222482
2810425,222021
1483076.48,313050.82
1482996.01,311671.23
1450839.74,295664.47
436297,146133
445361,146177
458756,152204
461905,150354
416135,137953
370124,126280
461630,155683
431351,141640
413391,132507
396644,129025
414237,132887
454186,145239
424095,134418
42938,136177
490087,147167
494260,147796
531429,149423
574864,156088
535788,145242
512152,144015
434144,118518
385475,106037
393917,107546
325826,72151
337421,70016
266375.53,71448.08
230873.97,63142.04
269344.05,64733.13
607529,199431
564722,184029
593502,193666
657650,215975
572269,190608
550277,178766
553641,178307
536779,171395
556564,164826
561007,165729
578346,159463
579404,156803
579635,154941
544597,140613
58663,149888
581704,143034
644947,155802
628828,153897
646641,157441
625164,149369
664535,153243
664720,145990
541486,122214
642095,96588
678127,97690
383045.74,86202.68
309932.68,69536.06
374376.27,84772.93
1409559,439895
1347611,422109
1557944,492448
1666591,495958
1577398,469670
1931505,621829
1789961,530692
1863643,555427
1723433,511928
1899849,561724
1977345,570010
2260794,625013
2320110,626849
2456251,646927
2753044,691467
2971286,718797
3125236,746465
3272451,769478
3384670,784820
3295247,769725
3676723,800036
3670435,810900
4247922,872737
4881089,615184
4807430,621903
2994191.84,581574.61
2603396.24,539316.52
2696877.46,551320.76
356709,109807
334232,104747
377337,115914
396977,121929
382123,113915
375533,111158
381577,114788
362979,108751
376973,105212
379818,109519
413375,110550
414741,110929
441276,116818
378377,100991
470469,123853
484900,127506
510160,132975
516869,133629
502552,127934
581910,144448
622832,147680
593194,147572
578654,128833
629224,83449
714017,82429
288810.52,65891.16
296472.07,64406.86
296925.16,64137.28
1646900,433078
1615751,425940
1943709,514363
1971740,515192
1753656,454087
1975700,521575
1801422,476899
1946406,496879
1992726,501119
1951109,475461
1966293,472635
2091996,495519
2124144,496538
2129914,494102
2308404,524955
2341075,506547
2673844,570417
2807676,590608
2940795,606973
3101455,641876
3207002,638090
3320064,648731
3641895,707266
3831923,390799
4090654,396559
2488641.91,511940.93
2164089.33,464103.42
2604913.29,545149.05
